Course,Assessment Type,Weighting,Status,Assessment Strategy
LIFE302_GENES AND CANCER,Coursework,60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students produce two pieces of extended writing. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Written coursework will consist of extended written exercises. Written coursework will be guided document analysis (~3-4 questions for assessment 1 and ~6 questions for assessment 2) Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE302_GENES AND CANCER,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students produce two pieces of extended writing. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Written coursework will consist of extended written exercises. Written coursework will be guided document analysis (~3-4 questions for assessment 1 and ~6 questions for assessment 2) Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS770_ACCELERATING DRUG DISCOVERY USING AI IN BIOLOGY,Coursework,15 %,Approved,"5 assessments - students are expected to demonstrate their deep understanding, higher-order thinking, and complex problem solving throughout - authentic assessment. A semester long project around designing an AI driven drug discovery pipeline where the students will write four different output reports over the course of the semester on different aspects of the pipeline: Problem Definition and Target Selection Report (15%): Task: Identify a biological target (e.g., a protein, gene, or pathway) for drug discovery. Output: A report detailing the chosen target, the rationale behind its selection, and a summary of the relevant biological pathways involved in the disease. Data Collection and Preprocessing Summary (20%): Task: Gather and preprocess relevant biological data (e.g., genomic, proteomic, or chemical structure data) required for the AI model. Output: A detailed description of the data sources, preprocessing steps taken, and the final dataset prepared for analysis. AI Model Development Report (25%): Task: Develop and implement an AI model (e.g., machine learning or deep learning) to predict drug-target interactions, identify potential lead compounds, or optimise lead candidates based on the biological data. Output: A technical report outlining the model development process, including the choice of algorithm, feature selection, model training, and validation. The report should include how they would establish performance metrics and a discussion of model accuracy and limitations. Lead Optimisation and Validation Report (20%): Task: Use the AI model to optimise the lead compound for improved efficacy, safety, and drug-like properties. Validate the predicted outcomes using either computational techniques or existing experimental data. Output: A comprehensive analysis of the optimised lead compounds, including a comparison with initial candidates and a discussion of the predicted ADMET properties. Final Presentation (20%): Output: Give a 10-15 minute presentation on the pipeline Due to the mini-project based nature of the assessments and the need for consistent feedback and the ability to check this has been acted on the written assessments can not be anonymous. Presentation cannot be marked anonymously. Standard penalties for late submission will be applied. Reassessment strategy – the format of the resit opportunity is the same but different data/question is used, capped at 50% and will take place in the normal reassessment window. 5 points of assessment – development of the final model is an iterative process and students need feedback on the previous report for the next submission and to continue to develop the model. Hand in dates at week 3, 5, and 8 along  with feedback being provided within 7 days will facilitate timely feedback for submission of the final written assessment and presentation taking place in Week 11. All assessment is complete before the examination period. The students will be developing their own models to answer a real world question. Utilising and developing their knowledge acquired through both this module and CHEM521 making this assessment format authentic. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS770_ACCELERATING DRUG DISCOVERY USING AI IN BIOLOGY,Coursework,20 %,Approved,"5 assessments - students are expected to demonstrate their deep understanding, higher-order thinking, and complex problem solving throughout - authentic assessment. A semester long project around designing an AI driven drug discovery pipeline where the students will write four different output reports over the course of the semester on different aspects of the pipeline: Problem Definition and Target Selection Report (15%): Task: Identify a biological target (e.g., a protein, gene, or pathway) for drug discovery. Output: A report detailing the chosen target, the rationale behind its selection, and a summary of the relevant biological pathways involved in the disease. Data Collection and Preprocessing Summary (20%): Task: Gather and preprocess relevant biological data (e.g., genomic, proteomic, or chemical structure data) required for the AI model. Output: A detailed description of the data sources, preprocessing steps taken, and the final dataset prepared for analysis. AI Model Development Report (25%): Task: Develop and implement an AI model (e.g., machine learning or deep learning) to predict drug-target interactions, identify potential lead compounds, or optimise lead candidates based on the biological data. Output: A technical report outlining the model development process, including the choice of algorithm, feature selection, model training, and validation. The report should include how they would establish performance metrics and a discussion of model accuracy and limitations. Lead Optimisation and Validation Report (20%): Task: Use the AI model to optimise the lead compound for improved efficacy, safety, and drug-like properties. Validate the predicted outcomes using either computational techniques or existing experimental data. Output: A comprehensive analysis of the optimised lead compounds, including a comparison with initial candidates and a discussion of the predicted ADMET properties. Final Presentation (20%): Output: Give a 10-15 minute presentation on the pipeline Due to the mini-project based nature of the assessments and the need for consistent feedback and the ability to check this has been acted on the written assessments can not be anonymous. Presentation cannot be marked anonymously. Standard penalties for late submission will be applied. Reassessment strategy – the format of the resit opportunity is the same but different data/question is used, capped at 50% and will take place in the normal reassessment window. 5 points of assessment – development of the final model is an iterative process and students need feedback on the previous report for the next submission and to continue to develop the model. Hand in dates at week 3, 5, and 8 along  with feedback being provided within 7 days will facilitate timely feedback for submission of the final written assessment and presentation taking place in Week 11. All assessment is complete before the examination period. The students will be developing their own models to answer a real world question. Utilising and developing their knowledge acquired through both this module and CHEM521 making this assessment format authentic. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS770_ACCELERATING DRUG DISCOVERY USING AI IN BIOLOGY,Coursework,25 %,Approved,"5 assessments - students are expected to demonstrate their deep understanding, higher-order thinking, and complex problem solving throughout - authentic assessment. A semester long project around designing an AI driven drug discovery pipeline where the students will write four different output reports over the course of the semester on different aspects of the pipeline: Problem Definition and Target Selection Report (15%): Task: Identify a biological target (e.g., a protein, gene, or pathway) for drug discovery. Output: A report detailing the chosen target, the rationale behind its selection, and a summary of the relevant biological pathways involved in the disease. Data Collection and Preprocessing Summary (20%): Task: Gather and preprocess relevant biological data (e.g., genomic, proteomic, or chemical structure data) required for the AI model. Output: A detailed description of the data sources, preprocessing steps taken, and the final dataset prepared for analysis. AI Model Development Report (25%): Task: Develop and implement an AI model (e.g., machine learning or deep learning) to predict drug-target interactions, identify potential lead compounds, or optimise lead candidates based on the biological data. Output: A technical report outlining the model development process, including the choice of algorithm, feature selection, model training, and validation. The report should include how they would establish performance metrics and a discussion of model accuracy and limitations. Lead Optimisation and Validation Report (20%): Task: Use the AI model to optimise the lead compound for improved efficacy, safety, and drug-like properties. Validate the predicted outcomes using either computational techniques or existing experimental data. Output: A comprehensive analysis of the optimised lead compounds, including a comparison with initial candidates and a discussion of the predicted ADMET properties. Final Presentation (20%): Output: Give a 10-15 minute presentation on the pipeline Due to the mini-project based nature of the assessments and the need for consistent feedback and the ability to check this has been acted on the written assessments can not be anonymous. Presentation cannot be marked anonymously. Standard penalties for late submission will be applied. Reassessment strategy – the format of the resit opportunity is the same but different data/question is used, capped at 50% and will take place in the normal reassessment window. 5 points of assessment – development of the final model is an iterative process and students need feedback on the previous report for the next submission and to continue to develop the model. Hand in dates at week 3, 5, and 8 along  with feedback being provided within 7 days will facilitate timely feedback for submission of the final written assessment and presentation taking place in Week 11. All assessment is complete before the examination period. The students will be developing their own models to answer a real world question. Utilising and developing their knowledge acquired through both this module and CHEM521 making this assessment format authentic. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS770_ACCELERATING DRUG DISCOVERY USING AI IN BIOLOGY,Coursework,20 %,Approved,"5 assessments - students are expected to demonstrate their deep understanding, higher-order thinking, and complex problem solving throughout - authentic assessment. A semester long project around designing an AI driven drug discovery pipeline where the students will write four different output reports over the course of the semester on different aspects of the pipeline: Problem Definition and Target Selection Report (15%): Task: Identify a biological target (e.g., a protein, gene, or pathway) for drug discovery. Output: A report detailing the chosen target, the rationale behind its selection, and a summary of the relevant biological pathways involved in the disease. Data Collection and Preprocessing Summary (20%): Task: Gather and preprocess relevant biological data (e.g., genomic, proteomic, or chemical structure data) required for the AI model. Output: A detailed description of the data sources, preprocessing steps taken, and the final dataset prepared for analysis. AI Model Development Report (25%): Task: Develop and implement an AI model (e.g., machine learning or deep learning) to predict drug-target interactions, identify potential lead compounds, or optimise lead candidates based on the biological data. Output: A technical report outlining the model development process, including the choice of algorithm, feature selection, model training, and validation. The report should include how they would establish performance metrics and a discussion of model accuracy and limitations. Lead Optimisation and Validation Report (20%): Task: Use the AI model to optimise the lead compound for improved efficacy, safety, and drug-like properties. Validate the predicted outcomes using either computational techniques or existing experimental data. Output: A comprehensive analysis of the optimised lead compounds, including a comparison with initial candidates and a discussion of the predicted ADMET properties. Final Presentation (20%): Output: Give a 10-15 minute presentation on the pipeline Due to the mini-project based nature of the assessments and the need for consistent feedback and the ability to check this has been acted on the written assessments can not be anonymous. Presentation cannot be marked anonymously. Standard penalties for late submission will be applied. Reassessment strategy – the format of the resit opportunity is the same but different data/question is used, capped at 50% and will take place in the normal reassessment window. 5 points of assessment – development of the final model is an iterative process and students need feedback on the previous report for the next submission and to continue to develop the model. Hand in dates at week 3, 5, and 8 along  with feedback being provided within 7 days will facilitate timely feedback for submission of the final written assessment and presentation taking place in Week 11. All assessment is complete before the examination period. The students will be developing their own models to answer a real world question. Utilising and developing their knowledge acquired through both this module and CHEM521 making this assessment format authentic. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS770_ACCELERATING DRUG DISCOVERY USING AI IN BIOLOGY,Presentation,20 %,Approved,"5 assessments - students are expected to demonstrate their deep understanding, higher-order thinking, and complex problem solving throughout - authentic assessment. A semester long project around designing an AI driven drug discovery pipeline where the students will write four different output reports over the course of the semester on different aspects of the pipeline: Problem Definition and Target Selection Report (15%): Task: Identify a biological target (e.g., a protein, gene, or pathway) for drug discovery. Output: A report detailing the chosen target, the rationale behind its selection, and a summary of the relevant biological pathways involved in the disease. Data Collection and Preprocessing Summary (20%): Task: Gather and preprocess relevant biological data (e.g., genomic, proteomic, or chemical structure data) required for the AI model. Output: A detailed description of the data sources, preprocessing steps taken, and the final dataset prepared for analysis. AI Model Development Report (25%): Task: Develop and implement an AI model (e.g., machine learning or deep learning) to predict drug-target interactions, identify potential lead compounds, or optimise lead candidates based on the biological data. Output: A technical report outlining the model development process, including the choice of algorithm, feature selection, model training, and validation. The report should include how they would establish performance metrics and a discussion of model accuracy and limitations. Lead Optimisation and Validation Report (20%): Task: Use the AI model to optimise the lead compound for improved efficacy, safety, and drug-like properties. Validate the predicted outcomes using either computational techniques or existing experimental data. Output: A comprehensive analysis of the optimised lead compounds, including a comparison with initial candidates and a discussion of the predicted ADMET properties. Final Presentation (20%): Output: Give a 10-15 minute presentation on the pipeline Due to the mini-project based nature of the assessments and the need for consistent feedback and the ability to check this has been acted on the written assessments can not be anonymous. Presentation cannot be marked anonymously. Standard penalties for late submission will be applied. Reassessment strategy – the format of the resit opportunity is the same but different data/question is used, capped at 50% and will take place in the normal reassessment window. 5 points of assessment – development of the final model is an iterative process and students need feedback on the previous report for the next submission and to continue to develop the model. Hand in dates at week 3, 5, and 8 along  with feedback being provided within 7 days will facilitate timely feedback for submission of the final written assessment and presentation taking place in Week 11. All assessment is complete before the examination period. The students will be developing their own models to answer a real world question. Utilising and developing their knowledge acquired through both this module and CHEM521 making this assessment format authentic. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE203_STRUCTURE AND DYNAMICS OF MACROMOLECULES,Coursework,40 %,Approved,"The module has a range of summative and formative assessments aligned with the Liverpool Curriculum Framework hallmarks with a range of authentic assessments to improve student confidence in a challenging area of biochemistry. All questions are aimed to test the understanding of modern theoretical and experimental biochemistry, are based on authentic real life research cases and many questions include interpretation of data collected in our laboratories, developing student skills in inquiry and research. Online assessment 1 focuses on the basic principles and research methods. The format of the assessment is written coursework (1000 words). Online assessment 2 is focused on the use of experimental methods for the solving biological problems. The format of the assessment is written coursework (1500 words). The lectures include practical research examples, and every two theoretical lectures follow by a workshop that discusses real data analysis and interpretations. Each topic has a set of study questions and extra reading material, such as scientific publications. The teaching and learning caters to a range of learning styles and is designed to be inclusive. Reassessment strategy: Single written coursework focused on the combination of experimental methods and structure analysis that cover most of the module material. The mark will be capped at 40. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE203_STRUCTURE AND DYNAMICS OF MACROMOLECULES,Coursework,60 %,Approved,"The module has a range of summative and formative assessments aligned with the Liverpool Curriculum Framework hallmarks with a range of authentic assessments to improve student confidence in a challenging area of biochemistry. All questions are aimed to test the understanding of modern theoretical and experimental biochemistry, are based on authentic real life research cases and many questions include interpretation of data collected in our laboratories, developing student skills in inquiry and research. Online assessment 1 focuses on the basic principles and research methods. The format of the assessment is written coursework (1000 words). Online assessment 2 is focused on the use of experimental methods for the solving biological problems. The format of the assessment is written coursework (1500 words). The lectures include practical research examples, and every two theoretical lectures follow by a workshop that discusses real data analysis and interpretations. Each topic has a set of study questions and extra reading material, such as scientific publications. The teaching and learning caters to a range of learning styles and is designed to be inclusive. Reassessment strategy: Single written coursework focused on the combination of experimental methods and structure analysis that cover most of the module material. The mark will be capped at 40. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
PHAR660_PHARMACOLOGY RESEARCH PROJECTS,Dissertation,30 %,Approved,"Library dissertation not anonymously marked. Dissertation marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Oral presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Poster presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Laboratory project report not anonymously marked. Report marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
PHAR660_PHARMACOLOGY RESEARCH PROJECTS,Coursework,10 %,Approved,"Library dissertation not anonymously marked. Dissertation marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Oral presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Poster presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Laboratory project report not anonymously marked. Report marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
PHAR660_PHARMACOLOGY RESEARCH PROJECTS,Coursework,15 %,Approved,"Library dissertation not anonymously marked. Dissertation marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Oral presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Poster presentation not anonymously marked. Marked by two independent academic staff. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Laboratory project report not anonymously marked. Report marked by supervisor and independent second marker. Supervisor additionally contributes a performance based mark. Marking descriptors and proformas can be found in the PHAR660 handbook available in Learning Resources section on PHAR660 VITAL page. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
